Site ID,Name,Total kWh,Current Charges,Delivery Charges,Prior/Other Charges,GST,Total,Month
20001764592,602 2 AVE NW,5101.59,328.0,301.02,-17.21,30.59,642.4,2024-07
20001764647,612 2 AVE NW,779.5,50.13,91.0,2.54,7.18,150.85,2024-07
20001764651,612 2 AVE NW,11.85,0.75,59.8,-1.05,2.99,62.49,2024-07
20001764664,#1 612 2 AVE N,149.66,9.63,34.42,-0.18,2.2,46.07,2024-07
20001764677,#2 612 2 AVE N,198.72,12.79,37.08,0.53,2.52,52.92,2024-07
20001764681,UNIT #3 612 2 A,277.23,17.84,41.31,-1.38,2.88,60.65,2024-07
20001764694,#4 612 2 AVE N,136.16,8.75,33.68,-2.7,1.98,41.71,2024-07
20001764706,#5 612 2 AVE N,233.07,15.0,38.93,0.19,2.7,56.82,2024-07
20001764710,#6 612 2 AVE N,274.78,17.68,41.19,2.74,3.07,64.68,2024-07
20001769010,709 2 AVE NW,11164.05,713.86,851.29,47.27,80.63,1693.05,2024-07
20002922183,806 10 ST NW,6634.03,424.2,649.61,0.06,53.69,1127.56,2024-07
20003614687,206 10A ST NW,20598.85,1317.13,1219.24,42.22,128.95,2707.54,2024-07
20001764592,602 2 AVE NW,4543.76,288.07,303.5,9.07,30.02,630.66,2024-08
20001764647,612 2 AVE NW,694.26,44.01,87.97,-0.4,6.57,138.15,2024-08
20001764651,612 2 AVE NW,10.55,0.67,58.52,-2.93,2.82,59.08,2024-08
20001764664,#1 612 2 AVE N,128.63,8.16,34.72,1.22,2.21,46.31,2024-08
20001764677,#2 612 2 AVE N,170.8,10.84,36.41,0.5,2.39,50.14,2024-08
20001764681,UNIT #3 612 2 A,238.28,15.11,43.07,1.94,3.01,63.13,2024-08
20001764694,#4 612 2 AVE N,117.03,7.42,39.84,0.45,2.39,50.1,2024-08
20001764706,#5 612 2 AVE N,200.32,12.71,44.95,0.02,2.89,60.57,2024-08
20001764710,#6 612 2 AVE N,236.17,14.97,61.82,2.52,3.98,83.29,2024-08
20001769010,709 2 AVE NW,9943.32,626.88,1199.79,-45.64,89.03,1870.06,2024-08
20002922183,806 10 ST NW,5908.64,372.51,736.69,-15.01,54.74,1148.93,2024-08
20003614687,206 10A ST NW,18346.48,1156.65,1538.82,3.26,134.93,2833.66,2024-08
20001764592,602 2 AVE NW,4139.08,260.52,239.87,3.52,25.21,529.12,2024-09
20001764647,612 2 AVE NW,535.17,33.67,84.87,3.55,6.1,128.19,2024-09
20001764651,612 2 AVE NW,13.78,0.87,54.26,-0.42,2.74,57.45,2024-09
20001764664,#1 612 2 AVE N,114.21,7.19,33.53,1.08,2.09,43.89,2024-09
20001764677,#2 612 2 AVE N,142.76,8.98,32.59,0.39,2.1,44.06,2024-09
20001764681,UNIT #3 612 2 A,214.82,13.53,37.92,-1.73,2.48,52.2,2024-09
20001764694,#4 612 2 AVE N,144.12,9.09,33.94,0.39,2.16,45.58,2024-09
20001764706,#5 612 2 AVE N,212.1,13.35,34.8,-0.57,2.38,49.96,2024-09
20001764710,#6 612 2 AVE N,339.91,21.41,36.91,3.06,3.07,64.45,2024-09
20001769010,709 2 AVE NW,10481.43,656.04,892.08,-17.1,76.55,1607.57,2024-09
20002922183,806 10 ST NW,5269.93,329.86,619.49,20.67,48.5,1018.52,2024-09
20003614687,206 10A ST NW,15671.26,980.89,1090.68,40.37,105.59,2217.53,2024-09
20001764592,602 2 AVE NW,4391.1,276.55,278.77,5.77,28.04,589.13,2024-10
20001764647,612 2 AVE NW,737.57,46.45,101.98,-1.05,7.37,154.75,2024-10
20001764651,612 2 AVE NW,16.01,1.02,64.14,-0.1,3.25,68.31,2024-10
20001764664,#1 612 2 AVE N,163.93,10.32,37.23,0.83,2.43,50.81,2024-10
20001764677,#2 612 2 AVE N,148.1,9.33,39.45,-0.36,2.42,50.84,2024-10
20001764681,UNIT #3 612 2 A,237.41,14.95,45.45,3.32,3.19,66.91,2024-10
20001764694,#4 612 2 AVE N,170.71,10.76,40.24,1.03,2.59,54.62,2024-10
20001764706,#5 612 2 AVE N,185.41,11.69,40.11,0.75,2.61,55.16,2024-10
20001764710,#6 612 2 AVE N,220.46,13.89,43.12,0.37,2.86,60.24,2024-10
20001769010,709 2 AVE NW,10002.3,626.4,926.27,16.98,78.49,1648.14,2024-10
20002922183,806 10 ST NW,5946.28,372.39,692.88,8.79,53.71,1127.77,2024-10
20003614687,206 10A ST NW,15368.85,962.48,1233.02,59.15,112.74,2367.39,2024-10
20001764592,602 2 AVE NW,4574.57,290.61,280.6,4.14,28.75,604.1,2024-11
20001764647,612 2 AVE NW,797.54,50.68,92.23,-0.34,7.12,149.69,2024-11
20001764651,612 2 AVE NW,20.55,1.3,59.1,-0.36,2.98,63.02,2024-11
20001764664,#1 612 2 AVE N,145.12,9.22,32.43,-1.08,2.04,42.61,2024-11
20001764677,#2 612 2 AVE N,179.83,11.42,36.58,-1.24,2.35,49.11,2024-11
20001764681,UNIT #3 612 2 A,274.47,17.43,41.39,-1.6,2.88,60.1,2024-11
20001764694,#4 612 2 AVE N,192.44,12.21,36.1,0.0,2.42,50.73,2024-11
20001764706,#5 612 2 AVE N,190.34,12.07,37.38,2.71,2.61,54.77,2024-11
20001764710,#6 612 2 AVE N,237.67,15.09,42.34,-0.49,2.86,59.8,2024-11
20001769010,709 2 AVE NW,9167.94,579.18,906.74,66.62,77.64,1630.18,2024-11
20002922183,806 10 ST NW,5587.11,352.95,677.95,29.15,53.02,1113.07,2024-11
20003614687,206 10A ST NW,14169.79,895.15,1149.7,168.78,110.68,2324.31,2024-11
0020001764592,602 2 AVE NW,4801.36,305.1,315.01,9.63,31.47,661.21,2024-12
0020001764647,612 2 AVE NW,753.07,47.84,101.69,-5.55,7.19,151.17,2024-12
0020001764651,612 2 AVE NW,36.76,2.33,66.95,0.31,3.46,73.05,2024-12
0020001764664,#1 612 2 AVE N,110.68,7.06,35.34,-0.71,2.09,43.78,2024-12
0020001764677,#2 612 2 AVE N,176.22,11.23,42.04,-1.52,2.58,54.33,2024-12
0020001764681,UNIT #3 612 2 A,252.52,16.09,48.4,-1.07,3.16,66.58,2024-12
0020001764694,#4 612 2 AVE N,168.7,10.74,38.21,2.11,2.55,53.61,2024-12
0020001764706,#5 612 2 AVE N,189.12,12.04,39.88,1.24,2.63,55.79,2024-12
0020001764710,#6 612 2 AVE N,267.56,17.04,45.66,7.53,3.51,73.74,2024-12
0020001769010,709 2 AVE NW,10004.73,632.24,951.9,122.77,85.37,1792.28,2024-12
0020002922183,806 10 ST NW,5490.4,346.96,752.53,3.44,55.15,1158.08,2024-12
0020003614687,206 10A ST NW,14704.29,929.21,1247.63,-40.11,106.85,2243.58,2024-12
0020001764592,602 2 AVE NW,5134.14,328.09,381.96,4.78,35.74,750.57,2025-01
0020001764647,612 2 AVE NW,810.67,51.8,98.41,-6.19,7.2,151.22,2025-01
0020001764651,612 2 AVE NW,130.65,8.35,58.96,0.31,3.39,71.01,2025-01
0020001764664,#1 612 2 AVE N,115.46,7.38,32.27,-0.77,1.95,40.83,2025-01
0020001764677,#2 612 2 AVE N,205.57,13.14,36.1,-1.62,2.39,50.01,2025-01
0020001764681,UNIT #3 612 2 A,290.99,18.6,40.16,-1.25,2.88,60.39,2025-01
0020001764694,#4 612 2 AVE N,153.94,9.84,33.07,1.88,2.25,47.04,2025-01
0020001764706,#5 612 2 AVE N,176.47,11.28,33.9,1.01,2.31,48.5,2025-01
0020001764710,#6 612 2 AVE N,254.38,16.25,45.7,7.0,3.45,72.4,2025-01
0020001769010,709 2 AVE NW,9225.37,586.29,847.76,110.87,77.25,1622.17,2025-01
0020002922183,806 10 ST NW,5726.09,363.89,624.37,-1.7,49.34,1035.9,2025-01
0020003614687,206 10A ST NW,14978.87,951.9,1168.23,-53.97,103.31,2169.47,2025-01
0020001764592,602 2 AVE NW,4767.31,305.96,353.22,-5.13,32.71,686.76,2025-02
0020001764647,612 2 AVE NW,683.95,43.91,93.94,8.04,7.3,153.19,2025-02
0020001764651,612 2 AVE NW,105.37,6.76,66.77,0.01,3.69,77.23,2025-02
0020001764664,#1 612 2 AVE N,124.99,8.01,30.09,2.39,2.02,42.51,2025-02
0020001764677,#2 612 2 AVE N,176.57,11.34,34.76,0.0,2.31,48.41,2025-02
0020001764681,UNIT #3 612 2 A,231.13,14.83,37.91,0.79,2.67,56.2,2025-02
0020001764694,#4 612 2 AVE N,135.9,8.72,30.09,1.14,1.99,41.94,2025-02
0020001764706,#5 612 2 AVE N,146.81,9.42,32.61,-1.76,2.01,42.28,2025-02
0020001764710,#6 612 2 AVE N,305.53,19.59,41.46,-6.83,2.72,56.94,2025-02
0020001769010,709 2 AVE NW,9049.57,577.58,825.12,-68.91,66.68,1400.47,2025-02
0020002922183,806 10 ST NW,5278.92,336.93,600.64,11.91,47.5,996.98,2025-02
0020003614687,206 10A ST NW,13410.87,855.93,1106.92,-82.22,94.03,1974.66,2025-02
0020001764592,602 2 AVE NW,4379.13,280.11,306.93,-6.98,29.01,609.07,2025-03
0020001764647,612 2 AVE NW,634.22,40.58,90.75,1.68,6.64,139.65,2025-03
0020001764651,612 2 AVE NW,241.61,15.45,49.86,0.2,3.25,68.76,2025-03
0020001764664,#1 612 2 AVE N,102.42,6.56,29.62,-2.16,1.72,35.74,2025-03
0020001764677,#2 612 2 AVE N,162.72,10.43,33.37,0.58,2.24,46.62,2025-03
0020001764681,UNIT #3 612 2 A,203.88,13.07,38.25,0.2,2.57,54.09,2025-03
0020001764694,#4 612 2 AVE N,102.42,6.56,28.81,-0.11,1.77,37.03,2025-03
0020001764706,#5 612 2 AVE N,134.96,8.65,32.57,-1.1,2.02,42.14,2025-03
0020001764710,#6 612 2 AVE N,249.82,16.0,40.97,-0.73,2.82,59.06,2025-03
0020001769010,709 2 AVE NW,8812.75,560.61,768.7,-68.23,63.07,1324.15,2025-03
0020002922183,806 10 ST NW,4991.29,317.5,576.01,-34.1,42.97,902.38,2025-03
0020003614687,206 10A ST NW,13102.14,833.47,1039.86,-103.46,88.49,1858.36,2025-03
0020001764592,602 2 AVE NW,3948.86,250.61,288.3,-11.09,26.39,554.21,2025-04
0020001764647,612 2 AVE NW,647.81,41.1,94.5,-1.48,6.7,140.82,2025-04
0020001764651,612 2 AVE NW,23.6,1.49,51.28,-11.0,2.09,43.86,2025-04
0020001764664,#1 612 2 AVE N,108.62,6.88,30.85,-1.3,1.82,38.25,2025-04
0020001764677,#2 612 2 AVE N,158.18,10.05,33.62,-0.12,2.18,45.73,2025-04
0020001764681,UNIT #3 612 2 A,223.56,14.19,38.95,0.29,2.69,56.12,2025-04
0020001764694,#4 612 2 AVE N,98.07,6.24,31.75,-1.62,1.83,38.2,2025-04
0020001764706,#5 612 2 AVE N,147.63,9.37,34.84,0.82,2.24,47.27,2025-04
0020001764710,#6 612 2 AVE N,259.41,16.48,41.8,2.79,3.07,64.14,2025-04
0020001769010,709 2 AVE NW,8005.32,505.24,854.21,3.34,68.14,1430.93,2025-04
0020002922183,806 10 ST NW,4951.74,312.52,653.04,-4.57,48.05,1009.04,2025-04
0020003614687,206 10A ST NW,12709.48,802.13,1176.17,15.62,99.7,2093.62,2025-04
0020001764592,602 2 AVE NW,4028.39,255.27,328.73,-2.62,29.07,610.45,2025-05
0020001764647,612 2 AVE NW,745.25,47.22,102.08,0.26,7.5,157.06,2025-05
0020001764651,612 2 AVE NW,21.15,1.34,58.08,4.67,3.2,67.29,2025-05
0020001764664,#1 612 2 AVE N,121.5,7.72,34.54,0.41,2.14,44.81,2025-05
