year,month,cost,kwh,month_number,cost_fixed,kwh_fixed,cost_per_kwh_fixed,year_str
2023,June,1791,9522,6,1791.0,9522.0,0.1880907372400756,2023
2023,July,1717,10238,7,1717.0,10238.0,0.16770853682359835,2023
2023,August,1984,9977,8,1984.0,9977.0,0.19885737195549766,2023
2023,September,642,10285,9,1668.5,9469.0,0.17620656880346394,2023
2023,October,2695,8653,10,1668.5,9469.0,0.17620656880346394,2023
2023,November,1579,8102,11,1579.0,8102.0,0.19489015058010367,2023
2023,December,1635,9300,12,1635.0,9300.0,0.17580645161290323,2023
2024,January,2038,11234,1,2038.0,11234.0,0.1814135659604771,2024
2024,February,1513,8554,2,1513.0,8554.0,0.1768763151741875,2024
2024,March,1610,10131,3,1610.0,10131.0,0.15891817194748792,2024
2024,April,1429,8379,4,1429.0,8379.0,0.1705454111469149,2024
2024,May,1417,8620,5,1417.0,8620.0,0.16438515081206498,2024
2024,June,1361,7631,6,1361.0,7631.0,0.17835146114532827,2024
